"Statistic Label","Census Year","Sex","Type of difficulty or condition","Extent of difficulty or condition","Type of Communal Establishment","UNIT","VALUE"
"People with a disability","2022","Female","Learning, remembering or concentrating","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","199"
"People with a disability","2022","Female","Learning, remembering or concentrating","Some Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Female","Learning, remembering or concentrating","Some Extent","Other, including not stated","Number","123"
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","All persons","Number","7623"
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","Hotel","Number","96"
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","Guest house, boarding house or B&B","Number","8"
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","Tourist/youth hostel or campsite","Number","8"
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","Student specific accommodation","Number","77"
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","Religious community","Number","120"
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","911"
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","Children's home","Number","8"
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","Nursing home","Number","5628"
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","Hospital","Number","638"
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","Defence establishment","Number",""
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","Prison","Number","5"
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","66"
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Female","Learning, remembering or concentrating","Great Extent","Other, including not stated","Number","58"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","All persons","Number","11264"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","Hotel","Number","912"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","Guest house, boarding house or B&B","Number","110"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","Tourist/youth hostel or campsite","Number","87"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","Student specific accommodation","Number","696"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","Religious community","Number","108"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","1175"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","Children's home","Number","35"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","Nursing home","Number","6126"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","Hospital","Number","1193"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","Defence establishment","Number","2"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","Prison","Number","63"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","436"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Any Extent","Other, including not stated","Number","320"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","All persons","Number","5647"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","Hotel","Number","707"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","Guest house, boarding house or B&B","Number","80"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","Tourist/youth hostel or campsite","Number","65"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","Student specific accommodation","Number","504"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","Religious community","Number","78"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","435"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","Children's home","Number","22"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","Nursing home","Number","2807"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","Hospital","Number","538"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","Defence establishment","Number",""
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","Prison","Number","35"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","273"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Some Extent","Other, including not stated","Number","102"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","All persons","Number","5617"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","Hotel","Number","205"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","Guest house, boarding house or B&B","Number","30"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","Tourist/youth hostel or campsite","Number","22"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","Student specific accommodation","Number","192"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","Religious community","Number","30"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","740"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","Children's home","Number","13"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","Nursing home","Number","3319"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","Hospital","Number","655"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","Defence establishment","Number","2"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","Prison","Number","28"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","163"
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Female","Psychological or emotional condition or a mental health issue","Great Extent","Other, including not stated","Number","218"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","All persons","Number","13552"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","Hotel","Number","1224"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","Guest house, boarding house or B&B","Number","103"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","Tourist/youth hostel or campsite","Number","52"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","Student specific accommodation","Number","286"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","Religious community","Number","616"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","875"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","Children's home","Number","1"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","Nursing home","Number","7970"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","Hospital","Number","1876"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","Defence establishment","Number",""
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","Prison","Number","27"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","333"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Any Extent","Other, including not stated","Number","188"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","All persons","Number","7177"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","Hotel","Number","877"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","Guest house, boarding house or B&B","Number","70"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","Tourist/youth hostel or campsite","Number","42"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","Student specific accommodation","Number","207"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","Religious community","Number","464"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","431"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","Children's home","Number","1"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","Nursing home","Number","3837"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","Hospital","Number","907"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","Defence establishment","Number",""
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","Prison","Number","17"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","202"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Some Extent","Other, including not stated","Number","121"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","All persons","Number","6375"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","Hotel","Number","347"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","Guest house, boarding house or B&B","Number","33"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","Tourist/youth hostel or campsite","Number","10"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","Student specific accommodation","Number","79"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","Religious community","Number","152"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","444"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","Children's home","Number",""
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","Nursing home","Number","4133"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","Hospital","Number","969"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","Defence establishment","Number",""
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","Prison","Number","10"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","131"
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Female","Pain, breathing or any other chronic illness or condition","Great Extent","Other, including not stated","Number","67"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","All persons","Number","16360"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","Hotel","Number","319"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","Guest house, boarding house or B&B","Number","18"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","Tourist/youth hostel or campsite","Number","9"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","Student specific accommodation","Number","32"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","Religious community","Number","462"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","1355"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","Children's home","Number","3"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","Nursing home","Number","11880"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","Hospital","Number","2048"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","Defence establishment","Number",""
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","Prison","Number","6"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","90"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Any Extent","Other, including not stated","Number","137"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","All persons","Number","4506"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","Hotel","Number","215"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","Guest house, boarding house or B&B","Number","17"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","Tourist/youth hostel or campsite","Number","7"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","Student specific accommodation","Number","26"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","Religious community","Number","256"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","427"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","Children's home","Number","3"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","Nursing home","Number","2642"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","Hospital","Number","788"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","Defence establishment","Number",""
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","Prison","Number","3"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","53"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Some Extent","Other, including not stated","Number","68"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","All persons","Number","11854"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","Hotel","Number","104"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","Guest house, boarding house or B&B","Number","1"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","Tourist/youth hostel or campsite","Number","2"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","Student specific accommodation","Number","6"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","Religious community","Number","206"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","928"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","Children's home","Number",""
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","Nursing home","Number","9238"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","Hospital","Number","1260"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","Defence establishment","Number",""
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","Prison","Number","3"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","37"
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Female","Difficulty dressing, bathing or getting around inside the home","Great Extent","Other, including not stated","Number","69"
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","All persons","Number","16887"
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","Hotel","Number","394"
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","Guest house, boarding house or B&B","Number","30"
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","Tourist/youth hostel or campsite","Number","12"
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","Student specific accommodation","Number","74"
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","Religious community","Number","645"
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","1476"
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","Children's home","Number","3"
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","Nursing home","Number","11692"
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","Hospital","Number","2207"
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","Defence establishment","Number",""
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","Prison","Number","13"
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","169"
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Female","Difficulty going outside the home","Any Extent","Other, including not stated","Number","171"
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","All persons","Number","3930"
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","Hotel","Number","267"
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","Guest house, boarding house or B&B","Number","28"
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","Tourist/youth hostel or campsite","Number","7"
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","Student specific accommodation","Number","68"
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","Religious community","Number","309"
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","381"
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","Children's home","Number","3"
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","Nursing home","Number","1940"
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","Hospital","Number","721"
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","Defence establishment","Number",""
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","Prison","Number","10"
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","126"
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Female","Difficulty going outside the home","Some Extent","Other, including not stated","Number","69"
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","All persons","Number","12957"
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","Hotel","Number","127"
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","Guest house, boarding house or B&B","Number","2"
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","Tourist/youth hostel or campsite","Number","5"
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","Student specific accommodation","Number","6"
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","Religious community","Number","336"
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","1095"
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","Children's home","Number",""
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","Nursing home","Number","9752"
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","Hospital","Number","1486"
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","Defence establishment","Number",""
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","Prison","Number","3"
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","43"
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Female","Difficulty going outside the home","Great Extent","Other, including not stated","Number","102"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","All persons","Number","15119"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","Hotel","Number","550"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","Guest house, boarding house or B&B","Number","55"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","Tourist/youth hostel or campsite","Number","25"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","Student specific accommodation","Number","227"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","Religious community","Number","425"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","1548"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","Children's home","Number","10"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","Nursing home","Number","9906"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","Hospital","Number","1873"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","Defence establishment","Number",""
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","Prison","Number","22"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","246"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Any Extent","Other, including not stated","Number","231"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","All persons","Number","2137"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","Hotel","Number","325"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","Guest house, boarding house or B&B","Number","37"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","Tourist/youth hostel or campsite","Number","17"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","Student specific accommodation","Number","195"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","Religious community","Number","90"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","202"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","Children's home","Number","5"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","Nursing home","Number","760"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","Hospital","Number","333"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","Defence establishment","Number",""
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","Prison","Number","12"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","103"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Some Extent","Other, including not stated","Number","57"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","All persons","Number","12982"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","Hotel","Number","225"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","Guest house, boarding house or B&B","Number","18"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","Tourist/youth hostel or campsite","Number","8"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","Student specific accommodation","Number","32"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","Religious community","Number","335"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","1346"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","Children's home","Number","5"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","Nursing home","Number","9146"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","Hospital","Number","1540"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","Defence establishment","Number",""
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","Prison","Number","10"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","143"
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Female","Difficulty working at a job or business or attending school or college","Great Extent","Other, including not stated","Number","174"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","All persons","Number","16983"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","Hotel","Number","641"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","Guest house, boarding house or B&B","Number","54"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","Tourist/youth hostel or campsite","Number","22"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","Student specific accommodation","Number","145"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","Religious community","Number","681"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","1527"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","Children's home","Number","7"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","Nursing home","Number","11296"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","Hospital","Number","2185"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","Defence establishment","Number","1"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","Prison","Number","19"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","183"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Female","Difficulty participating in other activities","Any Extent","Other, including not stated","Number","221"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","All persons","Number","4157"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","Hotel","Number","445"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","Guest house, boarding house or B&B","Number","46"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","Tourist/youth hostel or campsite","Number","17"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","Student specific accommodation","Number","124"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","Religious community","Number","288"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","429"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","Children's home","Number","6"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","Nursing home","Number","1947"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","Hospital","Number","623"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","Defence establishment","Number","1"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","Prison","Number","13"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","103"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","Civilian ships, boats and barges","Number","1"
